Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description
Factory.Set_Lockout.SET_PASSWORD_CHARACTER_4_REG,"401334",Short,1,R/W,100,,,,,,,,,,"Set/Change Password ( Char 4)- Lockouts"
Factory.Set_Lockout.SET_POINT_ACCESS_REG,"401301",Short,1,R/W,100,,,,,,,,,,"Set Point - Lockouts"
Factory.Set_Lockout.SETUP_ACCESS_REG,"401303",Short,1,R/W,100,,,,,,,,,,"Setup Page- Lockouts"
Factory.Test.FULL_DEFAULTS_REG,"401603",Short,1,R/W,100,,,,,,,,,,"Full Defaults"
Factory.Test.START_DISPLAY_TEST_REG,"401514",Short,1,R/W,100,,,,,,,,,,"Display Test"
Factory.Test.START_DISPLAY_TEST_REG1,"401514",Short,1,R/W,100,,,,,,,,,,"Display Test"
Factory.Test.START_DISPLAY_TEST_REG2,"401514",Short,1,R/W,100,,,,,,,,,,"Display Test"
Factory.Test.TEST_OUTPUTS_REG,"401515",Short,1,R/W,100,,,,,,,,,,"Test Outputs"
Factory.Test.TEST_OUTPUTS_REG1,"401515",Short,1,R/W,100,,,,,,,,,,"Test Outputs"
Factory.Test.TEST_OUTPUTS_REG2,"401515",Short,1,R/W,100,,,,,,,,,,"Test Outputs"
Main.Inputs.Analog_Inputs.ACTUAL_1_REG,"400101",Short,1,RO,100,,,,,,,,,,"Input 1 Process Value"
Main.Inputs.Analog_Inputs.ACTUAL_2_REG,"400105",Short,1,RO,100,,,,,,,,,,"Input 2 Process Value"
Main.Inputs.Analog_Inputs.ACTUAL_3_REG,"400109",Short,1,RO,100,,,,,,,,,,"Input 3 Process Value"
Main.Inputs.Analog_Inputs.CLEAR_ERROR_1_REG,"400312",Short,1,R/W,100,,,,,,,,,,"Clear Error 1"
Main.Inputs.Analog_Inputs.CLEAR_ERROR_2_REG,"400331",Short,1,R/W,100,,,,,,,,,,"Clear Error 2"
Main.Inputs.Analog_Inputs.CLEAR_ERROR_3_REG,"400350",Short,1,R/W,100,,,,,,,,,,"Clear Error 3"
Main.Inputs.Analog_Inputs.INPUT_1_ERROR_REG,"400102",Short,1,RO,100,,,,,,,,,,"Input 1 Error Status"
Main.Inputs.Analog_Inputs.INPUT_2_ERROR_REG,"400106",Short,1,RO,100,,,,,,,,,,"Input 2 Error Status"
Main.Inputs.Analog_Inputs.INPUT_3_ERROR_REG,"400110",Short,1,RO,100,,,,,,,,,,"Input 3 Error Status"
Main.Inputs.Analog_Inputs.OPEN_LOOP_ERROR_1_REG,"400211",Short,1,RO,100,,,,,,,,,,"Input 1 Open Loop Status"
Main.Inputs.Analog_Inputs.OPEN_LOOP_ERROR_2_REG,"400223",Short,1,RO,100,,,,,,,,,,"Input 2 Open Loop Status"
Main.Inputs.Digital_Inputs.EVENT_STATUS_1_REG,"400202",Short,1,RO,100,,,,,,,,,,"Digital Input 1 Status"
Main.Inputs.Digital_Inputs.EVENT_STATUS_2_REG,"400214",Short,1,RO,100,,,,,,,,,,"Digital Input 2 Status"
Main.Inputs.Digital_Inputs.EVENT_STATUS_3_REG,"400226",Short,1,RO,100,,,,,,,,,,"Digital Input 3 Status"
Main.Inputs.Digital_Inputs.EVENT_STATUS_4_REG,"400238",Short,1,RO,100,,,,,,,,,,"Digital Input 4 Status"
Main.Outputs.Analog_Outputs.OUTPUT_1_POWER_REG,"400104",Short,1,RO,100,,,,,,,,,,"% Power Output 1A"
Main.Outputs.Analog_Outputs.OUTPUT_2_POWER_REG,"400108",Short,1,RO,100,,,,,,,,,,"% Power Output 1B"
Main.Outputs.Analog_Outputs.OUTPUT_3_POWER_REG,"400112",Short,1,RO,100,,,,,,,,,,"% Power Output 2A"
Main.Outputs.Analog_Outputs.OUTPUT_4_POWER_REG,"400116",Short,1,RO,100,,,,,,,,,,"% Power Output 2B"
Main.Outputs.Digital_Outputs.DIGITAL_OUTPUT_1_STATUS_REG,"402001",Short,1,RO,100,,,,,,,,,,"Digital Output 1"
Main.Outputs.Digital_Outputs.DIGITAL_OUTPUT_2_STATUS_REG,"402011",Short,1,RO,100,,,,,,,,,,"Digital Output 2"
Main.Outputs.Digital_Outputs.DIGITAL_OUTPUT_3_STATUS_REG,"402021",Short,1,RO,100,,,,,,,,,,"Digital Output 3"
Main.Outputs.Digital_Outputs.DIGITAL_OUTPUT_4_STATUS_REG,"402031",Short,1,RO,100,,,,,,,,,,"Digital Output 4"
Main.Outputs.Digital_Outputs.DIGITAL_OUTPUT_5_STATUS_REG,"402041",Short,1,RO,100,,,,,,,,,,"Digital Output 5"
Main.Outputs.Digital_Outputs.DIGITAL_OUTPUT_6_STATUS_REG,"402051",Short,1,RO,100,,,,,,,,,,"Digital Output 6"
Main.Outputs.Digital_Outputs.DIGITAL_OUTPUT_7_STATUS_REG,"402061",Short,1,RO,100,,,,,,,,,,"Digital Output 7"
Main.Outputs.Digital_Outputs.DIGITAL_OUTPUT_8_STATUS_REG,"402071",Short,1,RO,100,,,,,,,,,,"Digital Output 8"
Main.Profile_Monitor.CURRENT_CHANNEL_1_PID_SET_REG,"404125",Short,1,RO,100,,,,,,,,,,"Profile PID Set (Channel 1), Current Status"
Main.Profile_Monitor.CURRENT_CHANNEL_2_PID_SET_REG,"404126",Short,1,RO,100,,,,,,,,,,"Profile PID Set (Channel 2), Current Status"
Main.Profile_Monitor.CURRENT_DIGITAL_OUTPUT_1_REG,"404112",Short,1,RO,100,,,,,,,,,,"Event Digital Output 1, Current Status"
Main.Profile_Monitor.CURRENT_DIGITAL_OUTPUT_2_REG,"404113",Short,1,RO,100,,,,,,,,,,"Event Digital Output 2, Current Status"
Main.Profile_Monitor.CURRENT_DIGITAL_OUTPUT_3_REG,"404114",Short,1,RO,100,,,,,,,,,,"Event Digital Output 3, Current Status"
Main.Profile_Monitor.CURRENT_DIGITAL_OUTPUT_4_REG,"404115",Short,1,RO,100,,,,,,,,,,"Event Digital Output 4, Current Status"
Main.Profile_Monitor.CURRENT_DIGITAL_OUTPUT_5_REG,"404116",Short,1,RO,100,,,,,,,,,,"Event Digital Output 5, Current Status"
Main.Profile_Monitor.CURRENT_DIGITAL_OUTPUT_6_REG,"404117",Short,1,RO,100,,,,,,,,,,"Event Digital Output 6, Current Status"
Main.Profile_Monitor.CURRENT_DIGITAL_OUTPUT_7_REG,"404118",Short,1,RO,100,,,,,,,,,,"Event Digital Output 7, Current Status"
Main.Profile_Monitor.CURRENT_DIGITAL_OUTPUT_8_REG,"404119",Short,1,RO,100,,,,,,,,,,"Event Digital Output 8, Current Status"
Main.Profile_Monitor.CURRENT_FILE_NUMBER_REG,"404101",Short,1,RO,100,,,,,,,,,,"Profile Number, Current Status"
Main.Profile_Monitor.CURRENT_JUMP_COUNT_REG,"404127",Short,1,RO,100,,,,,,,,,,"Profile Jump Count, Current Status"
Main.Profile_Monitor.CURRENT_JUMP_FILE_REG,"404128",Short,1,RO,100,,,,,,,,,,"Profile Jump File, Current Status"
Main.Profile_Monitor.CURRENT_JUMP_STEP_REG,"404129",Short,1,RO,100,,,,,,,,,,"Profile Jump Step, Current Status"
Main.Profile_Monitor.CURRENT_RAMP_END_SETPOINT_1_REG,"404130",Short,1,RO,100,,,,,,,,,,"End Set Point Channel 1, Current Status"
Main.Profile_Monitor.CURRENT_RAMP_END_SETPOINT_2_REG,"404131",Short,1,RO,100,,,,,,,,,,"End Set Point Channel 2, Current Status"
Main.Profile_Monitor.CURRENT_RAMP_SETPOINT_1_REG,"404123",Short,1,RO,100,,,,,,,,,,"Set Point Channel 1for Ramp or Soak, Current Status"
Main.Profile_Monitor.CURRENT_RAMP_SETPOINT_2_REG,"404124",Short,1,RO,100,,,,,,,,,,"Set Point Channel 2 for Ramp or Soak, Current Status"
Main.Profile_Monitor.CURRENT_REMAINING_HOURS_REG,"404120",Short,1,RO,100,,,,,,,,,,"Remaing Hours for Ramp or Soak, Current Status"
Main.Profile_Monitor.CURRENT_REMAINING_MINUTES_REG,"404121",Short,1,RO,100,,,,,,,,,,"Remaing Minutes for Ramp or Soak, Current Status"
Main.Profile_Monitor.CURRENT_REMAINING_SECONDS_REG,"404122",Short,1,RO,100,,,,,,,,,,"Remaing Seconds for Ramp or Soak, Current Status"
Main.Profile_Monitor.CURRENT_STEP_NUMBER_REG,"404102",Short,1,RO,100,,,,,,,,,,"Profile Step Number, Current Status"
Main.Profile_Monitor.CURRENT_STEP_TYPE_REG,"404103",Short,1,RO,100,,,,,,,,,,"Profile Step Type, Current Status"
Main.Profile_Monitor.CURRENT_WAITING_REG,"404104",Short,1,RO,100,,,,,,,,,,"Profile Ramp Waiting, Current Status"
Operation.WRITE_DATA_TO_EE_REG,"400026",Short,1,R/W,100,,,,,,,,,,"Save Changes to EE"
Operation.Alarms.Alarm_Setpoints.ALARM_SP_HIGH_1_REG,"400304",Short,1,R/W,100,,,,,,,,,,"Alarm 1 High Deviation, Process or Rate Setpoint"
Operation.Alarms.Alarm_Setpoints.ALARM_SP_HIGH_2_REG,"400323",Short,1,R/W,100,,,,,,,,,,"Alarm 2 High Deviation, Process or Rate Setpoint"
Operation.Alarms.Alarm_Setpoints.ALARM_SP_LOW_1_REG,"400303",Short,1,R/W,100,,,,,,,,,,"Alarm 1 Low Deviation, Process or Rate Setpoint"
Operation.Alarms.Alarm_Setpoints.ALARM_SP_LOW_2_REG,"400322",Short,1,R/W,100,,,,,,,,,,"Alarm 2 Low Deviation, Process or Rate Setpoint"
Operation.Alarms.Alarm_Status.ALARM_1_REG,"400103",Short,1,RO,100,,,,,,,,,,"Alarm 1 Status"
Operation.Alarms.Alarm_Status.ALARM_2_REG,"400107",Short,1,RO,100,,,,,,,,,,"Alarm 2 Status"
Operation.Alarms.Alarm_Status.CLEAR_ALARM_1_REG,"400313",Short,1,R/W,100,,,,,,,,,,"Clear Alarm 1"
Operation.Alarms.Alarm_Status.CLEAR_ALARM_2_REG,"400332",Short,1,R/W,100,,,,,,,,,,"Clear Alarm 2"
Operation.Alarms.Alarm_Status.SILENCE_ALARM_1_REG,"400314",Short,1,R/W,100,,,,,,,,,,"Silence Alarm 1"
Operation.Alarms.Alarm_Status.SILENCE_ALARM_2_REG,"400333",Short,1,R/W,100,,,,,,,,,,"Silence Alarm 2"
Operation.Autotune_PID.AUTOTUNE_SP_1_REG,"400305",Short,1,R/W,100,,,,,,,,,,"Channel 1 Autotune Set Point in %"
Operation.Autotune_PID.AUTOTUNE_SP_2_REG,"400324",Short,1,R/W,100,,,,,,,,,,"Channel 2 Autotune Set Point in %"
Operation.Autotune_PID.AUTOTUNE_START_1_REG,"400306",Short,1,R/W,100,,,,,,,,,,"Autotune Channel 1 PID"
Operation.Autotune_PID.AUTOTUNE_START_1_REG1,"400306",Short,1,R/W,100,,,,,,,,,,"Autotune Cascade Inner Loop"
Operation.Autotune_PID.AUTOTUNE_START_2_REG,"400325",Short,1,R/W,100,,,,,,,,,,"Autotune Channel 2 PID"
Operation.Autotune_PID.CSCD_AUTOTUNE_START_REG,"400344",Short,1,R/W,100,,,,,,,,,,"Autotune Cascade Outer Loop"
Operation.Control_Setpoints.CASCADE_INTERNAL_SP_REG,"401923",Short,1,RO,100,,,,,,,,,,"Cascade Internal Set Point"
Operation.Control_Setpoints.IDLE_SETPOINT_1_REG,"400309",Short,1,R/W,100,,,,,,,,,,"Idle Set Point Channel 1"
Operation.Control_Setpoints.IDLE_SETPONIT_2_REG,"400328",Short,1,R/W,100,,,,,,,,,,"Idle Set Point Channel 2"
Operation.Control_Setpoints.OPERATION_MODE_1_REG,"400201",Short,1,R/W,100,,,,,,,,,,"Operation Mode"
Operation.Control_Setpoints.SP_1_REG,"400301",Short,1,R/W,100,,,,,,,,,,"Set Point 1, Static"
Operation.Control_Setpoints.SP_2_REG,"400320",Short,1,R/W,100,,,,,,,,,,"Set Point 2, Static"
Operation.Edit_PID.DERIVATIVE_TERM_1_REG,"400208",Short,1,RO,100,,,,,,,,,,"Derivative Term Channel 1A"
Operation.Edit_PID.DERIVATIVE_TERM_2_REG,"400220",Short,1,RO,100,,,,,,,,,,"Derivative Term Channel 1B"
Operation.Edit_PID.DERIVATIVE_TERM_3_REG,"400232",Short,1,RO,100,,,,,,,,,,"Derivative Term Channel 2A"
Operation.Edit_PID.DERIVATIVE_TERM_4_REG,"400244",Short,1,RO,100,,,,,,,,,,"Derivative Term Channel 2B"
Operation.Edit_PID.INTEGRAL_TERM_1_REG,"400207",Short,1,RO,100,,,,,,,,,,"Integral Term Channel 1A"
Operation.Edit_PID.INTEGRAL_TERM_2_REG,"400219",Short,1,RO,100,,,,,,,,,,"Integral Term Channel 1B"
Operation.Edit_PID.INTEGRAL_TERM_3_REG,"400231",Short,1,RO,100,,,,,,,,,,"Integral Term Channel 2A"
Operation.Edit_PID.INTEGRAL_TERM_4_REG,"400243",Short,1,RO,100,,,,,,,,,,"Integral Term Channel 2B"
Operation.Edit_PID.PID_POWER_1_REG,"400205",Short,1,RO,100,,,,,,,,,,"PID Power Channel 1"
Operation.Edit_PID.PID_POWER_2_REG,"400217",Short,1,RO,100,,,,,,,,,,"PID Power Channel 2"
Operation.Edit_PID.PID_POWER_3_REG,"400229",Short,1,RO,100,,,,,,,,,,"PID Power Channel 2"
Operation.Edit_PID.PROP_TERM_1_REG,"400206",Short,1,RO,100,,,,,,,,,,"Proportional Term Channel 1A"
Operation.Edit_PID.PROP_TERM_2_REG,"400218",Short,1,RO,100,,,,,,,,,,"Proportional Term Channel 1B"
Operation.Edit_PID.PROP_TERM_3_REG,"400230",Short,1,RO,100,,,,,,,,,,"Proportional Term Channel 2A"
Operation.Edit_PID.PROP_TERM_4_REG,"400242",Short,1,RO,100,,,,,,,,,,"Proportional Term Channel 2B"
Operation.Edit_PID.Cascade_PID.PID_Set_1.DEADBAND_21_REG,"402606",Short,1,R/W,100,,,,,,,,,,"Dead Band 1A - Cascade PID Set 1"
Operation.Edit_PID.Cascade_PID.PID_Set_1.DEADBAND_22_REG,"402616",Short,1,R/W,100,,,,,,,,,,"Dead Band 1B - Cascade PID Set 1"
Operation.Edit_PID.Cascade_PID.PID_Set_1.DERIVATIVE_21_REG,"402604",Short,1,R/W,100,,,,,,,,,,"Derivative 1A - Cascade PID Set 1"
Operation.Edit_PID.Cascade_PID.PID_Set_1.DERIVATIVE_22_REG,"402614",Short,1,R/W,100,,,,,,,,,,"Derivative 1B - Cascade PID Set 1"
Operation.Edit_PID.Cascade_PID.PID_Set_1.HYSTERESIS_21_REG,"402608",Short,1,R/W,100,,,,,,,,,,"Hysteresis 1A - Cascade PID Set 1"
Operation.Edit_PID.Cascade_PID.PID_Set_1.HYSTERESIS_22_REG,"402618",Short,1,R/W,100,,,,,,,,,,"Hysteresis 1B - Cascade PID Set 1"
Operation.Edit_PID.Cascade_PID.PID_Set_1.INTEGRAL_21_REG,"402602",Short,1,R/W,100,,,,,,,,,,"Integral 1A - Cascade PID Set 1"
Operation.Edit_PID.Cascade_PID.PID_Set_1.INTEGRAL_22_REG,"402612",Short,1,R/W,100,,,,,,,,,,"Integral 1B - Cascade PID Set 1"
Operation.Edit_PID.Cascade_PID.PID_Set_1.PROPBAND_21_REG,"402601",Short,1,R/W,100,,,,,,,,,,"Proportional Band 1A - Cascade PID Set 1"
Operation.Edit_PID.Cascade_PID.PID_Set_1.PROPBAND_22_REG,"402611",Short,1,R/W,100,,,,,,,,,,"Proportional Band 1B - Cascade PID Set 1"
Operation.Edit_PID.Cascade_PID.PID_Set_1.RATE_21_REG,"402605",Short,1,R/W,100,,,,,,,,,,"Rate 1A - Cascade PID Set 1"
Operation.Edit_PID.Cascade_PID.PID_Set_1.RATE_22_REG,"402615",Short,1,R/W,100,,,,,,,,,,"Rate 1B -Cascade  PID Set 1"
Operation.Edit_PID.Cascade_PID.PID_Set_1.RESET_21_REG,"402603",Short,1,R/W,100,,,,,,,,,,"Reset 1A - Cascade PID Set 1"
Operation.Edit_PID.Cascade_PID.PID_Set_1.RESET_22_REG,"402613",Short,1,R/W,100,,,,,,,,,,"Reset 1B - Cascade PID Set 1"
Operation.Edit_PID.Cascade_PID.PID_Set_2.DEADBAND_23_REG,"402626",Short,1,R/W,100,,,,,,,,,,"Dead Band 1A - Cascade PID Set 2"
Operation.Edit_PID.Cascade_PID.PID_Set_2.DEADBAND_24_REG,"402636",Short,1,R/W,100,,,,,,,,,,"Dead Band 1B - Cascade PID Set 2"
Operation.Edit_PID.Cascade_PID.PID_Set_2.DERIVATIVE_23_REG,"402624",Short,1,R/W,100,,,,,,,,,,"Derivative 1A - Cascade PID Set 2"
Operation.Edit_PID.Cascade_PID.PID_Set_2.DERIVATIVE_24_REG,"402634",Short,1,R/W,100,,,,,,,,,,"Derivative 1B - Cascade PID Set 2"
Operation.Edit_PID.Cascade_PID.PID_Set_2.HYSTERESIS_23_REG,"402628",Short,1,R/W,100,,,,,,,,,,"Hysteresis 1A - Cascade PID Set 2"
Operation.Edit_PID.Cascade_PID.PID_Set_2.HYSTERESIS_24_REG,"402638",Short,1,R/W,100,,,,,,,,,,"Hysteresis 1B - Cascade PID Set 2"
Operation.Edit_PID.Cascade_PID.PID_Set_2.INTEGRAL_23_REG,"402622",Short,1,R/W,100,,,,,,,,,,"Integral 1A - Cascade PID Set 2"
Operation.Edit_PID.Cascade_PID.PID_Set_2.INTEGRAL_24_REG,"402632",Short,1,R/W,100,,,,,,,,,,"Integral 1B - Cascade PID Set 2"
Operation.Edit_PID.Cascade_PID.PID_Set_2.PROPBAND_23_REG,"402621",Short,1,R/W,100,,,,,,,,,,"Proportional Band 1A - Cascade PID Set 2"
Operation.Edit_PID.Cascade_PID.PID_Set_2.PROPBAND_24_REG,"402631",Short,1,R/W,100,,,,,,,,,,"Proportional Band 1B - Cascade PID Set 2"
Operation.Edit_PID.Cascade_PID.PID_Set_2.RATE_23_REG,"402625",Short,1,R/W,100,,,,,,,,,,"Rate 1A - Cascade PID Set 2"
Operation.Edit_PID.Cascade_PID.PID_Set_2.RATE_24_REG,"402635",Short,1,R/W,100,,,,,,,,,,"Rate 1B - Cascade PID Set 2"
Operation.Edit_PID.Cascade_PID.PID_Set_2.RESET_23_REG,"402623",Short,1,R/W,100,,,,,,,,,,"Reset 1A - Cascade PID Set 2"
Operation.Edit_PID.Cascade_PID.PID_Set_2.RESET_24_REG,"402633",Short,1,R/W,100,,,,,,,,,,"Reset 1B - Cascade PID Set 2"
Operation.Edit_PID.Cascade_PID.PID_Set_3.DEADBAND_25_REG,"402646",Short,1,R/W,100,,,,,,,,,,"Dead Band 1A - Cascade PID Set 3"
Operation.Edit_PID.Cascade_PID.PID_Set_3.DEADBAND_26_REG,"402656",Short,1,R/W,100,,,,,,,,,,"Dead Band 1B - Cascade PID Set 3"
